state,year,vehicle_segment,ice_vehicle_registrations,ev_vehicle_registrations,charging_stations,avg_ev_subsidy_rs,fuel_price_rs_per_litre,avg_income_index
Chhattisgarh,2016,4W,90252,30470,785,100000,107.12,0.66
Kerala,2017,2W,62692,1126,1049,50000,113.32,1.37
Delhi,2017,4W,115383,11893,13,100000,114.25,1.34
Gujarat,2020,3W,120616,16710,871,100000,100.37,0.77
Rajasthan,2021,2W,80157,12400,364,50000,101.26,0.63
Chhattisgarh,2023,3W,98685,15989,654,0,95.72,1.17
Tamil Nadu,2022,3W,33976,9437,599,0,103.01,1.27
Maharashtra,2021,2W,57545,15418,520,50000,103.8,1.06
Uttar Pradesh,2023,4W,72531,17926,693,75000,107.6,0.71
Assam,2016,2W,121058,30971,27,0,99.81,0.94
Gujarat,2024,2W,71917,15947,950,50000,99.91,1.12
Assam,2018,3W,82222,0,483,25000,101.48,1.48
Karnataka,2020,3W,17976,2536,108,0,91.9,0.63
Haryana,2019,4W,100090,18682,218,25000,94.55,0.85
Delhi,2021,4W,78119,19179,204,75000,94.81,0.54
Gujarat,2019,2W,95121,9224,262,25000,94.43,0.59
Odisha,2016,2W,76789,3568,333,50000,102.59,1.19
Odisha,2019,3W,44063,3526,564,25000,111.84,1.42
Delhi,2022,2W,76630,9801,684,75000,94.61,0.71
Madhya Pradesh,2019,3W,102725,12583,190,50000,105.46,0.87
Kerala,2019,2W,129349,16181,672,0,102.79,1.03
Rajasthan,2022,3W,89337,12257,213,50000,103.32,0.74
Tamil Nadu,2020,3W,57309,445,306,100000,92.99,1.39
West Bengal,2024,3W,47553,15155,764,0,109.73,1.0
Delhi,2020,2W,82321,5257,956,100000,100.79,0.63
Telangana,2016,2W,96167,6004,85,100000,106.15,1.07
Odisha,2021,4W,38042,7847,304,50000,94.66,0.79
Odisha,2024,2W,65386,10125,250,75000,100.26,1.48
Rajasthan,2020,2W,72831,4314,326,75000,94.27,1.17
Maharashtra,2024,4W,102661,16418,725,25000,104.29,0.78
Haryana,2022,2W,60121,12448,271,50000,102.69,0.74
Punjab,2017,4W,25853,4549,228,50000,97.22,1.08
Chhattisgarh,2020,4W,78017,2254,304,75000,98.42,0.63
Punjab,2022,4W,81421,20406,326,50000,96.37,1.18
Assam,2018,2W,95894,28207,241,75000,98.72,1.43
West Bengal,2018,4W,56093,10495,318,100000,113.46,0.68
Kerala,2022,4W,82597,11103,850,0,93.49,1.3
Kerala,2020,2W,87632,8871,370,75000,94.11,1.31
Punjab,2023,3W,88693,31711,761,75000,99.81,1.32
Rajasthan,2024,3W,70219,0,197,25000,101.57,0.8
Tamil Nadu,2020,4W,80552,25586,598,100000,99.6,1.04
Punjab,2017,2W,73426,12743,731,50000,92.92,1.44
Madhya Pradesh,2019,2W,35642,9422,601,0,105.5,1.03
Karnataka,2019,3W,67541,11359,574,100000,93.79,0.81
Tamil Nadu,2023,3W,104910,6755,521,100000,109.06,1.38
Rajasthan,2022,3W,65670,16664,346,75000,92.77,1.35
Madhya Pradesh,2018,4W,71903,3747,366,0,95.73,1.22
Delhi,2022,2W,91319,21639,906,25000,107.35,1.04
Chhattisgarh,2023,2W,56786,1450,33,100000,101.55,1.45
Madhya Pradesh,2017,3W,124881,22228,162,25000,102.65,1.11
Bihar,2024,4W,83281,18536,644,100000,107.68,0.65
Punjab,2023,4W,86716,29327,903,100000,100.6,1.24
Odisha,2024,3W,50311,6913,516,25000,104.78,0.9
Jharkhand,2023,3W,112825,15141,371,25000,110.07,0.5
Telangana,2024,3W,49636,0,746,25000,98.66,0.85
Telangana,2023,2W,82199,9569,1000,50000,95.62,0.95
Madhya Pradesh,2020,3W,72627,8913,309,50000,112.87,0.86
Assam,2017,2W,78371,26246,837,25000,90.33,1.16
Madhya Pradesh,2022,4W,71933,2830,1272,25000,91.68,1.25
Rajasthan,2017,3W,81776,13886,456,75000,95.13,0.69
Punjab,2024,3W,79017,7558,286,75000,109.39,0.95
Karnataka,2019,3W,83192,0,827,75000,100.02,1.06
Maharashtra,2022,3W,69719,7868,77,0,106.1,0.91
Haryana,2020,3W,56665,13801,881,75000,90.68,0.72
Assam,2024,4W,101650,3770,342,25000,106.32,0.74
Jharkhand,2019,3W,94681,11926,387,75000,108.06,1.36
Jharkhand,2016,3W,69171,18394,175,50000,97.33,1.4
West Bengal,2018,3W,98478,17983,124,25000,100.54,1.39
Assam,2016,3W,64318,16394,288,100000,104.76,0.77
Maharashtra,2017,4W,37746,828,1026,75000,103.8,0.94
Gujarat,2023,2W,86330,12114,336,0,111.71,0.99
Telangana,2022,3W,91974,14846,545,25000,100.63,0.52
Bihar,2021,3W,89234,0,95,75000,93.48,1.33
Telangana,2022,3W,102297,15533,604,0,94.29,0.77
Jharkhand,2016,4W,85875,4479,622,100000,106.29,1.33
Karnataka,2021,2W,28922,5078,794,0,105.01,1.17
Karnataka,2016,2W,24773,546,312,25000,94.16,1.24
Maharashtra,2018,2W,80782,13626,273,25000,96.13,0.89
Jharkhand,2017,4W,52303,775,207,25000,104.16,0.98
Bihar,2020,3W,111609,22247,555,25000,108.31,0.71
Delhi,2018,3W,62730,10174,1268,0,98.36,1.27
Maharashtra,2020,4W,77118,11297,1031,75000,107.21,0.93
West Bengal,2019,2W,101232,9490,689,100000,96.8,1.09
Madhya Pradesh,2017,4W,109176,8437,425,50000,112.93,0.64
Delhi,2016,3W,77766,16491,553,100000,111.82,1.23
Odisha,2021,2W,39939,8226,824,100000,107.31,1.35
Punjab,2016,3W,77895,0,628,75000,94.51,1.07
Delhi,2022,3W,86230,3612,815,75000,113.11,1.47
Gujarat,2022,2W,78813,17193,508,100000,97.98,1.33
Telangana,2024,3W,80892,12911,361,75000,95.75,0.62
Odisha,2020,3W,86664,8850,876,25000,91.63,0.82
Tamil Nadu,2020,3W,53161,15666,558,25000,97.97,1.13
Bihar,2022,3W,88011,21031,524,0,113.48,1.3
Jharkhand,2021,2W,111964,11002,922,75000,102.0,1.13
Rajasthan,2021,3W,66634,19679,973,50000,95.97,0.61
Telangana,2020,4W,64314,1000,224,0,97.41,0.73
Chhattisgarh,2019,2W,78959,13693,965,25000,95.46,1.45
Odisha,2023,4W,50049,12433,435,25000,113.62,0.97
Jharkhand,2023,3W,46318,8718,549,0,105.19,1.01
Tamil Nadu,2020,2W,94773,8171,340,75000,95.51,0.69
Madhya Pradesh,2020,4W,60878,16370,926,100000,107.4,0.65
Haryana,2023,4W,62877,5959,689,100000,95.6,1.04
Haryana,2022,4W,126425,41668,316,100000,112.22,1.46
Punjab,2021,4W,68368,12209,600,75000,106.38,1.05
Telangana,2020,3W,74691,5241,86,25000,108.09,1.0
Delhi,2019,3W,58072,5704,567,0,111.28,1.0
Assam,2018,2W,155807,15099,353,25000,106.95,1.07
Jharkhand,2020,4W,111324,23199,392,100000,109.94,1.16
Chhattisgarh,2020,2W,104614,20998,820,25000,105.47,1.25
Kerala,2019,3W,115078,15338,544,25000,98.38,1.24
Kerala,2016,4W,91060,10077,508,100000,90.16,0.79
Gujarat,2020,2W,118353,20014,513,0,105.8,0.76
Assam,2020,4W,99364,36399,407,25000,109.03,1.04
Jharkhand,2017,2W,86574,12161,583,100000,105.82,1.43
Kerala,2023,3W,66606,11283,822,75000,91.68,1.08
Punjab,2018,2W,49204,13260,43,50000,91.14,1.37
Jharkhand,2017,2W,63232,11869,969,75000,107.08,0.95
Jharkhand,2017,4W,78027,405,159,0,94.09,1.29
Gujarat,2018,4W,49363,10901,573,50000,106.36,0.77
Tamil Nadu,2019,2W,63077,13562,470,100000,100.49,1.14
Odisha,2019,4W,34234,2766,486,75000,112.35,0.73
Bihar,2023,3W,87300,2169,933,100000,111.61,0.97
Odisha,2020,4W,90281,17665,670,100000,109.03,1.13
Karnataka,2017,2W,93431,15850,712,25000,109.91,0.98
Telangana,2017,2W,59708,19709,487,25000,91.61,1.08
Uttar Pradesh,2024,2W,37076,8678,304,25000,97.76,0.96
Maharashtra,2022,3W,66430,0,24,100000,107.37,1.36
Jharkhand,2020,2W,102812,5480,485,25000,96.05,1.49
Kerala,2020,4W,79891,2729,951,75000,103.99,0.51
Tamil Nadu,2019,3W,106320,18163,112,100000,92.2,0.85
Rajasthan,2022,2W,49951,6088,1039,100000,110.01,0.7
Madhya Pradesh,2018,3W,99225,28768,777,25000,90.79,1.44
Tamil Nadu,2016,2W,81788,6977,709,50000,107.85,1.3
Kerala,2023,2W,91804,23405,339,75000,92.0,1.39
Kerala,2022,3W,119521,20289,1122,100000,103.16,1.23
Assam,2023,3W,59324,5034,354,0,111.79,0.72
Karnataka,2022,4W,95685,8863,492,50000,103.88,1.22
Telangana,2016,2W,144268,22188,536,25000,94.99,1.18
Maharashtra,2020,4W,72278,0,619,0,108.57,0.93
Uttar Pradesh,2023,4W,99415,2726,60,75000,114.69,0.54
Telangana,2018,4W,86733,22091,1005,75000,102.17,1.37
Jharkhand,2017,3W,66233,8791,765,50000,96.92,1.09
Odisha,2021,3W,124296,35798,312,0,107.9,1.41
Uttar Pradesh,2021,3W,91874,8725,298,75000,114.28,0.68
Kerala,2022,4W,79233,21176,663,0,101.13,1.01
Bihar,2017,3W,68881,18244,21,50000,94.09,0.89
Punjab,2017,3W,41159,10951,359,100000,114.25,0.95
Maharashtra,2024,3W,90395,14253,115,75000,98.43,1.33
Karnataka,2019,4W,33302,3569,950,50000,94.18,0.67
Jharkhand,2023,2W,105506,12432,1123,25000,111.1,1.31
Telangana,2024,2W,110908,19284,422,50000,96.74,0.56
Bihar,2023,2W,74109,16508,515,0,90.98,0.62
Madhya Pradesh,2018,3W,101979,14473,523,100000,91.04,0.65
Maharashtra,2024,3W,20053,4845,603,0,101.37,1.02
Madhya Pradesh,2017,3W,142651,19406,832,0,95.05,1.17
Gujarat,2023,4W,48802,4276,1074,50000,111.7,0.68
Chhattisgarh,2020,3W,106102,21174,545,75000,102.43,1.12
Jharkhand,2019,3W,90948,15471,815,100000,90.76,1.43
Gujarat,2022,2W,113165,30407,691,100000,99.85,1.15
Chhattisgarh,2018,2W,45709,8239,273,50000,114.99,0.55
Odisha,2021,4W,78075,14278,596,50000,104.18,1.24
Maharashtra,2020,4W,92657,11636,789,50000,98.18,1.17
Jharkhand,2018,3W,97922,21554,410,100000,110.45,0.62
Jharkhand,2021,3W,121271,16091,504,100000,98.11,0.87
Assam,2022,3W,127835,8348,202,50000,95.94,0.87
Rajasthan,2019,4W,15398,4838,802,75000,105.49,0.96
Madhya Pradesh,2022,2W,109452,12862,249,50000,90.64,0.84
Jharkhand,2022,3W,148728,1642,10,25000,104.5,1.03
Jharkhand,2016,2W,121528,25082,678,100000,113.89,0.52
Punjab,2017,3W,105602,23854,584,0,96.09,1.43
Chhattisgarh,2023,2W,57381,6996,10,25000,97.12,0.81
Odisha,2018,2W,77049,12943,917,75000,97.78,1.11
Telangana,2021,4W,50311,12279,205,75000,94.53,1.18
Tamil Nadu,2021,4W,73261,11761,99,100000,107.73,0.61
West Bengal,2021,4W,32210,6250,494,75000,110.15,1.05
Assam,2016,4W,96574,15695,371,0,113.79,1.1
Madhya Pradesh,2020,2W,81465,12550,289,0,105.27,0.91
Odisha,2017,4W,60112,1539,292,0,109.51,0.77
Bihar,2018,4W,71151,19550,297,50000,105.6,0.95
Maharashtra,2016,3W,88369,2760,592,0,108.42,1.36
Kerala,2021,3W,74441,10199,513,75000,105.18,1.05
Gujarat,2019,4W,75589,7124,89,75000,104.86,1.0
Uttar Pradesh,2018,2W,55889,17544,1003,0,107.31,1.49
West Bengal,2019,3W,63392,13115,988,100000,96.85,0.58
Gujarat,2019,3W,62549,3035,305,50000,91.74,1.02
Bihar,2020,4W,43281,7503,33,0,112.0,1.15
Bihar,2020,4W,20187,3783,868,100000,114.85,1.16
Uttar Pradesh,2017,3W,43710,13867,625,50000,101.63,0.56
Kerala,2022,4W,96749,15247,661,50000,95.02,1.04
Bihar,2020,2W,52379,7274,228,75000,108.9,0.85
Jharkhand,2017,2W,112739,23778,172,75000,114.81,1.43
Haryana,2020,4W,70507,19129,542,50000,103.02,1.12
Maharashtra,2022,3W,85761,10213,540,0,109.55,1.21
Karnataka,2023,3W,75425,5385,100,25000,92.19,1.44
Haryana,2019,4W,24913,5002,168,25000,105.01,1.02
Telangana,2018,4W,15413,2302,751,0,114.8,1.35
Karnataka,2020,3W,82454,11552,775,0,111.7,1.31
Haryana,2018,2W,71291,5930,797,50000,92.02,0.9
Punjab,2022,2W,96095,5780,508,25000,106.02,1.32
Gujarat,2024,3W,79726,11759,745,100000,105.16,1.26
Chhattisgarh,2020,2W,80310,1511,180,50000,99.19,0.57
Jharkhand,2020,4W,70843,11027,658,50000,114.15,0.93
Delhi,2023,2W,81934,0,218,25000,106.02,0.72
Madhya Pradesh,2022,4W,75677,22935,865,50000,93.8,0.56
Tamil Nadu,2022,2W,73596,22010,544,50000,114.59,0.74
Assam,2017,3W,69887,6196,409,50000,107.3,0.56
Telangana,2022,4W,84817,12748,631,50000,97.66,1.12
Delhi,2019,3W,115719,0,780,0,93.27,1.39
Assam,2021,4W,38993,4972,148,25000,110.69,1.23
Tamil Nadu,2023,4W,25940,2395,277,50000,90.48,0.76
Odisha,2017,2W,63612,12034,56,0,90.3,0.74
Karnataka,2020,3W,85500,12694,673,0,92.74,1.05
Delhi,2019,4W,115897,15547,491,25000,93.75,0.82
West Bengal,2023,3W,52001,6900,1013,100000,99.4,0.89
Odisha,2018,3W,124135,16021,299,0,107.2,0.94
Jharkhand,2022,3W,111197,24217,353,0,90.96,1.4
Haryana,2019,3W,144719,12942,722,75000,105.92,1.11
Madhya Pradesh,2021,2W,88978,13631,273,50000,93.75,1.24
Assam,2021,2W,140401,22977,390,75000,91.78,0.51
Telangana,2019,2W,85540,1307,208,75000,98.74,1.27
Tamil Nadu,2019,4W,48592,9896,855,100000,96.63,0.52
Maharashtra,2016,3W,101568,25351,272,25000,105.62,0.88
Gujarat,2019,2W,70319,8784,898,100000,106.1,1.03
Rajasthan,2019,2W,96686,8280,778,50000,114.5,1.1
Gujarat,2016,3W,125854,25269,661,25000,93.2,0.84
Gujarat,2024,3W,112175,5106,89,25000,100.99,1.11
Delhi,2016,2W,73362,8973,592,0,97.15,1.32
Haryana,2019,4W,104472,13924,584,50000,108.88,0.96
Maharashtra,2018,3W,94729,21170,698,0,94.44,1.05
Gujarat,2022,4W,115204,21885,304,0,110.44,0.71
Tamil Nadu,2023,3W,117148,17821,592,50000,104.76,1.01
Chhattisgarh,2017,3W,131066,27071,28,100000,107.22,1.37
Madhya Pradesh,2016,4W,118692,25793,458,100000,90.23,0.75
Kerala,2023,4W,43271,5586,244,0,110.0,0.7
Karnataka,2023,3W,130097,24649,141,75000,98.88,1.28
Delhi,2023,4W,93338,12749,504,75000,109.02,0.54
Tamil Nadu,2017,3W,56453,12127,463,100000,98.17,0.65
Gujarat,2017,2W,92585,20575,388,50000,114.91,0.87
Assam,2021,3W,131808,14503,567,100000,99.79,0.91
Chhattisgarh,2020,3W,107977,0,878,100000,109.85,0.59
Odisha,2017,4W,63444,25746,330,0,104.5,1.06
Assam,2019,3W,85536,30463,862,75000,106.91,1.3
Madhya Pradesh,2022,3W,103350,9805,254,75000,91.46,0.83
West Bengal,2022,4W,79898,17548,786,0,109.72,1.02
Punjab,2022,3W,45749,5976,284,50000,92.22,0.72
Haryana,2018,4W,24003,7233,689,75000,114.96,1.43
Tamil Nadu,2017,2W,49274,16526,866,0,92.96,0.91
Odisha,2017,4W,97462,10991,826,50000,104.3,1.09
Gujarat,2024,2W,65334,2485,542,100000,97.47,1.44
Assam,2024,3W,26946,2786,21,0,111.82,1.34
Odisha,2021,4W,95408,9228,149,75000,93.34,0.58
Karnataka,2020,4W,6167,908,1031,50000,100.92,1.23
Haryana,2017,4W,61933,12193,200,100000,108.78,1.16
Rajasthan,2018,4W,89053,12466,438,75000,96.54,0.75
Madhya Pradesh,2017,3W,73205,13670,774,100000,101.24,1.28
Haryana,2017,3W,55904,8266,275,100000,90.84,0.56
Madhya Pradesh,2022,4W,7272,1733,721,100000,90.55,1.16
Assam,2016,4W,71560,11213,654,50000,113.42,0.55
Maharashtra,2018,3W,33123,3216,738,50000,94.95,1.07
Punjab,2021,2W,42371,8331,489,25000,105.21,0.85
Gujarat,2022,2W,57962,3997,560,25000,103.08,0.61
Maharashtra,2017,4W,114459,22077,707,100000,91.69,1.21
Rajasthan,2022,3W,55172,8751,178,75000,94.14,1.45
Punjab,2018,3W,7640,1479,771,50000,101.56,0.91
Punjab,2017,2W,98574,35067,506,25000,110.16,0.96
Uttar Pradesh,2016,4W,58159,4966,260,0,94.12,0.83
Telangana,2023,4W,83680,26147,596,75000,111.99,1.37
Jharkhand,2023,3W,72429,8750,31,50000,114.62,1.27
Rajasthan,2024,2W,106493,15145,445,50000,92.64,1.16
Odisha,2017,3W,175793,18873,844,100000,109.39,1.46
Jharkhand,2024,4W,83398,514,775,50000,104.44,1.13
Karnataka,2019,3W,59955,6311,884,100000,112.88,1.03
Karnataka,2016,2W,94541,6179,306,50000,111.43,1.41
Rajasthan,2018,3W,110898,12922,378,50000,94.61,1.39
Punjab,2017,2W,51346,9876,1118,75000,92.09,1.38
Odisha,2018,2W,47974,7312,923,75000,114.18,0.92
Assam,2019,4W,48128,9280,443,100000,94.06,0.51
Haryana,2017,3W,109571,29445,1276,0,107.98,1.39
Odisha,2016,3W,85831,9843,601,0,110.48,1.04
Punjab,2022,4W,71137,3510,841,75000,101.78,1.32
Odisha,2020,2W,16344,1458,889,75000,98.38,0.67
Maharashtra,2021,2W,79313,18564,664,100000,92.52,0.74
Bihar,2021,2W,68247,3941,984,75000,106.28,1.12
Delhi,2019,3W,70330,17570,370,100000,101.78,1.48
West Bengal,2024,2W,52888,9648,146,75000,107.16,0.57
Kerala,2021,2W,115630,20620,422,50000,95.68,1.34
Uttar Pradesh,2017,4W,106138,1634,537,0,97.63,0.71
Chhattisgarh,2024,2W,138167,27825,553,50000,111.78,1.27
Haryana,2018,2W,99041,25846,622,0,106.77,1.06
Gujarat,2020,2W,72762,9949,207,25000,101.51,1.36
Gujarat,2017,2W,14819,3478,339,75000,108.5,1.42
Bihar,2023,4W,77284,17075,369,100000,97.31,1.41
Punjab,2021,2W,102164,21611,219,75000,110.73,0.78
Tamil Nadu,2023,3W,112579,21021,1051,50000,92.41,0.74
Telangana,2016,3W,79417,9504,739,100000,97.43,0.8
Tamil Nadu,2020,3W,31510,7720,1013,75000,112.31,0.69
Karnataka,2016,3W,76866,10232,521,50000,91.59,1.33
Tamil Nadu,2017,4W,114856,6577,571,100000,92.35,1.41
Chhattisgarh,2022,3W,109255,21862,556,100000,102.94,0.93
Assam,2016,3W,110031,9307,49,100000,109.35,1.1
Rajasthan,2021,4W,75876,18611,983,75000,104.79,1.2
Chhattisgarh,2018,2W,119447,18818,19,75000,92.61,0.88
Delhi,2021,4W,145128,19216,536,0,108.59,1.01
Chhattisgarh,2018,2W,96544,8470,558,25000,96.36,0.86
Bihar,2023,4W,61646,9018,371,100000,114.29,0.83
Uttar Pradesh,2021,3W,59227,554,475,50000,105.27,0.78
West Bengal,2022,3W,82473,350,407,100000,110.06,1.07
Karnataka,2021,2W,57435,0,534,50000,113.29,0.9
Delhi,2024,4W,86395,6462,404,75000,102.69,1.37
Kerala,2020,4W,56119,19087,481,100000,114.82,0.63
Gujarat,2021,2W,58747,0,40,100000,112.69,1.21
Gujarat,2021,3W,32475,0,768,75000,110.59,1.46
Gujarat,2017,3W,65508,10787,983,100000,92.86,0.88
West Bengal,2021,2W,106905,0,284,100000,93.03,0.92
Tamil Nadu,2022,4W,76062,11993,432,50000,113.54,1.17
Maharashtra,2021,3W,60499,2478,923,25000,104.84,0.51
Rajasthan,2021,3W,101246,17548,785,25000,108.1,0.62
Madhya Pradesh,2018,2W,88613,3157,532,0,90.29,0.92
Kerala,2017,4W,76143,0,335,100000,93.08,1.06
Chhattisgarh,2016,4W,82785,22895,240,50000,106.31,1.35
Gujarat,2022,2W,60613,19852,141,25000,97.66,1.29
Uttar Pradesh,2018,4W,107574,31115,424,75000,110.56,1.36
Karnataka,2022,3W,75970,17555,738,25000,99.28,1.1
Bihar,2020,4W,27544,6975,838,75000,99.36,0.67
Madhya Pradesh,2024,2W,46828,6017,407,50000,93.86,0.53
Jharkhand,2019,3W,103389,29055,918,100000,98.52,0.57
Bihar,2023,3W,29496,2047,789,75000,99.11,0.72
Chhattisgarh,2024,3W,128467,18930,584,25000,107.21,0.64
Rajasthan,2018,3W,65784,9772,663,0,99.61,0.54
Jharkhand,2021,4W,80192,11320,388,0,94.0,0.52
Chhattisgarh,2017,3W,72236,22383,668,0,92.9,1.46
Uttar Pradesh,2020,3W,71135,15628,399,100000,105.07,1.33
Gujarat,2022,2W,76780,14954,28,25000,103.54,0.65
Bihar,2021,2W,46196,14932,1169,75000,109.05,1.33
Karnataka,2022,4W,25968,2485,263,50000,91.44,0.84
Madhya Pradesh,2022,2W,61374,0,724,50000,104.51,0.64
Madhya Pradesh,2016,3W,142222,8257,259,0,114.85,1.38
Punjab,2018,2W,71419,18575,1087,0,105.52,0.7
Kerala,2023,4W,66040,9206,1293,25000,95.69,1.46
Jharkhand,2023,4W,34910,6122,640,0,103.33,1.37
Tamil Nadu,2016,3W,89241,9891,580,25000,96.89,1.38
Gujarat,2024,4W,69704,13084,491,100000,102.09,1.36
Chhattisgarh,2022,2W,26809,7404,228,50000,109.04,0.89
Madhya Pradesh,2020,2W,60387,0,1441,0,104.43,1.37
Madhya Pradesh,2022,4W,78353,13990,656,100000,104.34,1.46
Bihar,2017,2W,99356,12942,454,75000,111.35,0.94
Assam,2016,4W,97806,0,696,100000,90.48,0.98
Madhya Pradesh,2018,3W,85842,22525,784,75000,107.31,0.63
Maharashtra,2021,2W,50850,612,311,100000,95.27,1.46
Odisha,2018,4W,105871,25971,653,0,97.37,0.51
Chhattisgarh,2021,2W,101752,20515,307,100000,108.84,1.27
Assam,2024,4W,92957,24995,712,100000,111.15,1.11
Maharashtra,2022,3W,79204,4895,451,0,100.18,0.57
West Bengal,2021,3W,57652,4079,407,0,110.21,1.45
Haryana,2017,3W,23191,3973,500,25000,109.86,1.21
Delhi,2021,2W,55487,0,271,0,95.81,0.78
Haryana,2024,3W,104884,13699,420,25000,95.65,1.14
Bihar,2023,4W,19884,3101,583,25000,98.95,1.15
Gujarat,2017,4W,10585,1782,1040,75000,91.79,1.18
